Hidden Layer Sizes,Activation Function,Learning Rate,Batch Size,Number of Epochs,Average Accuracy,Average F1,Average Training Time,dataset
"[24, 30]",sigmoid,0.013762474419153879,64,11,0.5581052880914312,0.5268837949794403,2.1659810066223146,wine_quality
"[24, 31]",tanh,0.022258776771656927,32,12,0.5505627997868183,0.5266482291945087,5.264510440826416,wine_quality
"[23, 31]",tanh,0.023461233871197133,128,11,0.5462539231361402,0.5273658598573587,1.851085376739502,wine_quality
"[23, 32]",relu,0.01228158002623216,32,13,0.5618024515899804,0.5448372592840982,4.951335191726685,wine_quality
"[22, 33]",relu,0.01821084096143737,32,14,0.54964232841831,0.5264813714901452,6.234912967681884,wine_quality
"[23, 33]",relu,0.014008548586876023,64,14,0.559030378397584,0.5363017433421295,2.5191502571105957,wine_quality
"[23, 31]",tanh,0.013750609624776021,64,12,0.5641095517261798,0.5471112465476328,1.9947181701660157,wine_quality
"[23, 31]",relu,0.02065046639583626,64,12,0.5604166518623793,0.5381950820061248,3.099329614639282,wine_quality
"[24, 31]",relu,0.01730493268068193,64,13,0.566264226920116,0.5452114724860333,2.5661057472229003,wine_quality
"[24, 32]",relu,0.004926431302996993,128,12,0.5579520341090779,0.5338051769944546,1.4011879920959474,wine_quality
"[23, 32]",tanh,0.007813296234944565,64,13,0.5676483685675372,0.5473459635992105,2.1287458419799803,wine_quality
"[24, 33]",relu,0.013418015814696576,128,13,0.5524085983300764,0.5257459105987353,1.4777615547180176,wine_quality
"[22, 31]",relu,0.001,64,13,0.5468702552259134,0.5202906809969476,2.1462796688079835,wine_quality
"[22, 31]",tanh,0.015124109595031387,128,13,0.5608774797181264,0.5413960047172843,1.585322380065918,wine_quality
"[23, 32]",sigmoid,0.012382484673547972,32,14,0.5576448155385799,0.5336909859478596,5.669619417190551,wine_quality
"[22, 31]",tanh,0.001,64,13,0.5553355835850062,0.5302892141345248,3.4312926292419434,wine_quality
"[24, 33]",sigmoid,0.006542036866737553,64,13,0.5539494285545095,0.5251414656587018,3.1440557479858398,wine_quality
"[24, 31]",sigmoid,0.001,64,13,0.544559838929354,0.5035010827346283,2.7909993171691894,wine_quality
"[23, 31]",tanh,0.012131887550427189,32,12,0.5658037543672648,0.5510438200111668,3.498514413833618,wine_quality
"[23, 30]",sigmoid,0.018075559762417166,32,11,0.563340913128442,0.5366075161288556,3.214056301116943,wine_quality
"[24, 32]",sigmoid,0.007732358788375364,64,13,0.5588748741635577,0.5249583027814714,2.3508522510528564,wine_quality
"[24, 31]",tanh,0.006040023861760011,128,12,0.5597996091668147,0.5389673095943349,1.6297407627105713,wine_quality
"[22, 31]",sigmoid,0.021550488020368033,32,12,0.5519496654231064,0.5302887946040606,4.0156872272491455,wine_quality
"[23, 32]",relu,0.0031817497890780488,128,12,0.5607218570498016,0.5407605970434926,1.4001254081726073,wine_quality
"[23, 30]",relu,0.01682465806599858,32,12,0.5554897850417481,0.5330092584090776,3.65276837348938,wine_quality
"[23, 30]",sigmoid,0.014359044070650816,64,13,0.5644166518623793,0.5347921305386268,2.242435264587402,wine_quality
"[23, 32]",relu,0.01523969006724388,32,11,0.5597979510866347,0.5272484517909937,3.6592877388000487,wine_quality
"[22, 31]",sigmoid,0.010567362417565427,32,12,0.5525652869070883,0.5302831586671658,4.986793804168701,wine_quality
"[23, 31]",relu,0.00476891080691266,128,11,0.5576426837212056,0.5378672105744755,1.870666265487671,wine_quality
"[22, 31]",tanh,0.007522785240739005,32,12,0.5557980695209332,0.5400104907422584,4.845247364044189,wine_quality
"[22, 30]",relu,0.003136135891372115,64,11,0.5585682477645526,0.534378176313719,2.6870986938476564,wine_quality
"[22, 31]",tanh,0.013943245243613138,128,12,0.5628764138094391,0.5439058870330733,2.333203935623169,wine_quality
"[24, 30]",tanh,0.010239048192191926,64,12,0.5582616213655475,0.5343003823947369,2.592530059814453,wine_quality
"[24, 32]",relu,0.013077582723495702,64,12,0.5594946408479895,0.5349957871642215,2.21874418258667,wine_quality
"[24, 30]",sigmoid,0.018623456968091843,32,13,0.5576449339728786,0.5311633998840303,4.005927801132202,wine_quality
"[22, 31]",tanh,0.01192575696693424,32,11,0.5585654053413868,0.5379044407523036,3.5996408462524414,wine_quality
"[24, 31]",tanh,0.02105435704669675,128,13,0.5604146384793036,0.5399513174752256,1.54308762550354,wine_quality
"[22, 30]",relu,0.004193667223473108,64,12,0.5587188961923373,0.5384666749421252,2.6645102977752684,wine_quality
"[24, 32]",sigmoid,0.011551827468027078,64,13,0.5602604370225617,0.5273833635353136,2.2952088832855226,wine_quality
"[24, 30]",sigmoid,0.01212535660913962,32,11,0.5564141647421093,0.5242916192698559,3.561137580871582,wine_quality
"[23, 32]",sigmoid,0.017201135345156875,64,11,0.5579506128974951,0.5241742217531804,1.954599094390869,wine_quality
"[23, 32]",relu,0.00874320770197962,128,11,0.5568747557292592,0.5306250662962284,1.3338693618774413,wine_quality
"[23, 31]",tanh,0.011864552336801483,32,13,0.5565668265529699,0.5334129190055565,3.9012059688568117,wine_quality
"[24, 32]",tanh,0.00570374266990338,64,12,0.5636475395274471,0.5427539246759827,2.173919439315796,wine_quality
"[24, 30]",sigmoid,0.00463107234737164,128,12,0.5502578314679931,0.5227880846512123,1.4462061882019044,wine_quality
"[23, 31]",sigmoid,0.021260509079823003,32,11,0.5511830402084443,0.5171090057830791,3.2956381320953367,wine_quality
"[23, 32]",relu,0.01611199208165965,128,13,0.5705719192278084,0.5451080605826173,1.517483377456665,wine_quality
"[22, 31]",tanh,0.007681412258920468,64,11,0.5591824480369514,0.5361491556148021,2.005939483642578,wine_quality
"[23, 30]",sigmoid,0.02016365293471286,64,11,0.5562625688399361,0.5288892852742516,1.991672945022583,wine_quality
"[22, 30]",tanh,0.021151300472500377,32,11,0.5420954580446498,0.5240571384915652,3.315900373458862,wine_quality
"[24, 29]",sigmoid,0.003048547729762898,32,9,0.9081395348837209,0.9087861576276763,0.11883029937744141,cong_voting
"[23, 28]",tanh,0.001,32,9,0.926321353065539,0.9267981903701024,0.10345377922058105,cong_voting
"[22, 28]",relu,0.001,128,9,0.7924947145877379,0.7838046778883347,0.04674086570739746,cong_voting
"[22, 29]",sigmoid,0.0056120461050318355,64,9,0.8990486257928119,0.8995695656431166,0.06154584884643555,cong_voting
"[24, 29]",relu,0.0010857339617386863,128,10,0.8616279069767441,0.8611207291761029,0.050473594665527345,cong_voting
"[23, 29]",sigmoid,0.009361917815978942,128,9,0.8989429175475687,0.899489947584106,0.047600317001342776,cong_voting
"[22, 28]",relu,0.0076755314814290045,128,8,0.9218816067653277,0.921688333844536,0.040306472778320314,cong_voting
"[24, 29]",sigmoid,0.009423632862604801,64,8,0.9265327695560254,0.9268038416140645,0.05212821960449219,cong_voting
"[24, 28]",relu,0.003521255564025075,128,8,0.9078224101479915,0.9072089707985924,0.05056638717651367,cong_voting
"[23, 27]",sigmoid,0.001,64,9,0.6313953488372094,0.48920605254876265,0.06270637512207031,cong_voting
"[24, 27]",relu,0.006416795565321882,128,10,0.9585623678646934,0.9582898335785149,0.05690255165100098,cong_voting
"[24, 28]",tanh,0.01401388789345125,32,11,0.9631078224101479,0.9631744524838162,0.16113457679748536,cong_voting
"[24, 27]",sigmoid,0.015010484849919778,32,10,0.9493657505285412,0.949181176469572,0.11096339225769043,cong_voting
"[23, 28]",relu,0.013209104648293859,32,10,0.9540169133192389,0.9538275714049839,0.10941100120544434,cong_voting
"[23, 28]",sigmoid,0.001,32,10,0.8573995771670189,0.8474709594508587,0.11593303680419922,cong_voting
"[25, 27]",tanh,0.0058515835982272035,32,11,0.9677589852008456,0.9677824365834825,0.12330403327941894,cong_voting
"[24, 27]",sigmoid,0.014491538676793495,32,9,0.9632135306553911,0.963118823720739,0.10402750968933105,cong_voting
"[24, 27]",tanh,0.008391407074567384,32,9,0.9540169133192389,0.9540284469741742,0.11693572998046875,cong_voting
"[23, 27]",tanh,0.005218477664481659,64,11,0.9494714587737845,0.9495108515620905,0.07386059761047363,cong_voting
"[23, 28]",sigmoid,0.016291804402868384,64,11,0.9449260042283297,0.944907318898861,0.07111401557922363,cong_voting
"[24, 27]",sigmoid,0.004682581804666952,64,9,0.9035940803382664,0.9039959400784676,0.05872945785522461,cong_voting
"[23, 26]",sigmoid,0.0016903955294374886,32,11,0.908245243128964,0.9074882401746877,0.12044739723205566,cong_voting
"[24, 26]",relu,0.006259352462644931,128,11,0.9309725158562367,0.9305927579073451,0.057851982116699216,cong_voting
"[25, 27]",sigmoid,0.01039901065550839,64,11,0.9356236786469344,0.9358141555559399,0.07789754867553711,cong_voting
"[23, 26]",sigmoid,0.00369498838545432,64,10,0.9128964059196617,0.9127177045611432,0.06699390411376953,cong_voting
"[24, 27]",relu,0.01190306052820422,128,11,0.9586680761099367,0.9585614313999541,0.05706057548522949,cong_voting
"[24, 26]",sigmoid,0.010653652725435551,32,11,0.9539112050739957,0.9537217912046912,0.1670670509338379,cong_voting
"[24, 28]",relu,0.013224389340005822,32,11,0.9540169133192389,0.9538948759028338,0.13490843772888184,cong_voting
"[25, 27]",relu,0.001,32,9,0.9493657505285412,0.9493266419098871,0.10326156616210938,cong_voting
"[25, 26]",tanh,0.0015024943403007147,32,11,0.9171247357293868,0.9176400996659939,0.15831174850463867,cong_voting
"[25, 28]",relu,0.004112851359517848,64,11,0.9541226215644819,0.9540252237198634,0.07408361434936524,cong_voting
"[25, 27]",tanh,0.012705358717162822,128,10,0.9631078224101479,0.9631264523200495,0.05457196235656738,cong_voting
"[24, 26]",tanh,0.001,64,11,0.8391120507399575,0.8411196558887031,0.0715867519378662,cong_voting
"[23, 28]",tanh,0.001,128,9,0.9031712473572938,0.903967907174307,0.049456548690795896,cong_voting
"[24, 26]",tanh,0.0023168493683843007,128,9,0.8621564482029598,0.8635195112929596,0.04857978820800781,cong_voting
"[25, 27]",relu,0.00488336334269627,32,11,0.9586680761099367,0.9585854314818375,0.12794508934020996,cong_voting
"[23, 27]",tanh,0.0028875372745178034,64,10,0.9218816067653277,0.9224768800039289,0.06771812438964844,cong_voting
"[25, 28]",relu,0.016315619947700057,32,10,0.9633192389006343,0.963275987060841,0.11221518516540527,cong_voting
"[24, 27]",tanh,0.001,128,10,0.91723044397463,0.9182481078654379,0.053690004348754886,cong_voting
"[25, 27]",tanh,0.004612524810985786,64,11,0.9632135306553911,0.9632991015629649,0.1243978500366211,cong_voting
"[24, 28]",relu,0.0047124347987306725,64,10,0.9309725158562367,0.9303979982742134,0.06860241889953614,cong_voting
"[25, 26]",sigmoid,0.001,32,11,0.6313953488372094,0.48920605254876265,0.12249960899353027,cong_voting
"[25, 28]",sigmoid,0.006820890062536492,32,9,0.9494714587737845,0.9495939426678875,0.11756181716918945,cong_voting
"[24, 28]",sigmoid,0.009343642623431701,64,11,0.9219873150105709,0.9223937862606129,0.07651243209838868,cong_voting
"[24, 28]",tanh,0.001,128,9,0.44661733615221993,0.45538417149803684,0.05016350746154785,cong_voting
"[24, 27]",relu,0.001,128,10,0.9034883720930231,0.9025354554686832,0.05233221054077149,cong_voting
"[25, 26]",tanh,0.015194010576598128,64,9,0.9540169133192389,0.954138950735644,0.06053323745727539,cong_voting
"[25, 26]",tanh,0.0032478860895302783,32,11,0.9448202959830867,0.944892424227984,0.12242703437805176,cong_voting
"[25, 27]",tanh,0.007153590120334968,64,10,0.9632135306553911,0.9632991015629649,0.06373748779296876,cong_voting
"[24, 28]",relu,0.011821474020175627,128,9,0.940169133192389,0.9394657928629988,0.0547386646270752,cong_voting
"[26, 31]",tanh,0.019684835248669832,128,9,0.8974459183706249,0.8671145399381228,7.13322081565857,bank_marketing
"[27, 32]",relu,0.01398084833147586,128,10,0.8972517259461105,0.8679038071998342,7.9479451179504395,bank_marketing
"[27, 33]",sigmoid,0.012974248568612312,128,10,0.8983685372314,0.8716287875705679,8.522835731506348,bank_marketing
"[26, 32]",tanh,0.013152133104583493,128,9,0.8976401284795426,0.8747943959163299,7.510201787948608,bank_marketing
"[26, 32]",tanh,0.012329893466165373,128,8,0.8961350030828334,0.8758316597300807,6.319793844223023,bank_marketing
"[27, 32]",sigmoid,0.015723975887392803,64,9,0.8987570046076415,0.8729234790139696,10.659401607513427,bank_marketing
"[25, 33]",sigmoid,0.004630428710592428,32,8,0.8986356129736668,0.8742220215966551,15.484266710281371,bank_marketing
"[26, 33]",relu,0.012917157318933475,64,9,0.8975431265840988,0.8747314129798077,10.695550632476806,bank_marketing
"[27, 33]",sigmoid,0.016547222420631065,128,9,0.898635601184065,0.8732990738554639,6.554380083084107,bank_marketing
"[26, 32]",sigmoid,0.01651175084479334,64,9,0.8982471632818279,0.8736582081390672,11.808917665481568,bank_marketing
"[27, 32]",sigmoid,0.022281218335720714,32,9,0.8987327268703268,0.8708590368270448,16.963338994979857,bank_marketing
"[26, 32]",tanh,0.006018922116196511,32,10,0.8956735934408314,0.8747879958036938,19.2059223651886,bank_marketing
"[27, 33]",sigmoid,0.006449784650942521,64,8,0.8982956951772542,0.8738257529260437,10.500240993499755,bank_marketing
"[26, 33]",relu,0.0030222938440818675,128,10,0.8981014821209363,0.8745561876009796,8.669683027267457,bank_marketing
"[26, 33]",sigmoid,0.017319618960491265,128,8,0.8985142419714949,0.8744135085637547,7.147197198867798,bank_marketing
"[26, 33]",relu,0.005949680664343447,64,10,0.8982714233347402,0.8730867026395958,14.083613967895507,bank_marketing
"[27, 33]",sigmoid,0.01415025929695753,64,10,0.8986355923418639,0.872773440505631,12.122858810424805,bank_marketing
"[26, 32]",sigmoid,0.013741523613788047,128,10,0.8975431265840988,0.8766940460076595,7.325356292724609,bank_marketing
"[25, 34]",tanh,0.006866606641527378,64,9,0.8972031351026754,0.8741175166391205,12.191787958145142,bank_marketing
"[25, 32]",sigmoid,0.009394684744123284,32,9,0.8973488398427703,0.8728872031554179,19.801358556747438,bank_marketing
"[27, 33]",sigmoid,0.0056049651792074735,32,9,0.8981743624912877,0.8741419391452249,20.380420541763307,bank_marketing
"[26, 34]",sigmoid,0.009760109757732473,64,8,0.8981986137019989,0.8736200805499921,10.250316190719605,bank_marketing
"[25, 33]",tanh,0.013273017144900591,128,9,0.8946052668925614,0.8761303779883113,7.584057140350342,bank_marketing
"[26, 33]",sigmoid,0.015620120302251912,32,8,0.8984899347601758,0.8712575805781795,16.6173508644104,bank_marketing
"[26, 32]",tanh,0.005588034496832201,128,8,0.896717656988789,0.8762225947345273,6.747549152374267,bank_marketing
"[26, 34]",relu,0.012957491367140325,64,8,0.8983442418096826,0.8697249371285627,10.216748428344726,bank_marketing
"[25, 32]",sigmoid,0.013655105524137463,64,10,0.8976158861110328,0.8723894946710322,14.422809934616089,bank_marketing
"[24, 34]",sigmoid,0.011671611118242926,128,10,0.897543114794497,0.8768487956557722,7.782383632659912,bank_marketing
"[26, 32]",tanh,0.003665008240659271,64,9,0.8971788779971636,0.8757797427753609,8.788745546340943,bank_marketing
"[25, 33]",relu,0.008997721606900102,128,8,0.8978587018003872,0.872376080204547,5.081051397323608,bank_marketing
"[27, 32]",sigmoid,0.001,128,9,0.8987327592917314,0.8734427853102993,5.688244724273682,bank_marketing
"[27, 33]",relu,0.010165853287641543,32,10,0.8987813118189607,0.8729167926440964,16.808335494995116,bank_marketing
"[27, 32]",tanh,0.001,64,10,0.8964748324572334,0.8727460066378384,12.529171180725097,bank_marketing
"[25, 31]",sigmoid,0.001,32,9,0.8981743094380802,0.8723913776008974,19.677555084228516,bank_marketing
"[25, 31]",tanh,0.006126243587923368,32,10,0.8949695980067085,0.874775972931247,17.876442623138427,bank_marketing
"[25, 32]",tanh,0.001,32,9,0.8962320432944828,0.8742776104987602,19.259448719024657,bank_marketing
"[26, 32]",sigmoid,0.004676028000153917,128,9,0.8984899671815804,0.874045024081958,7.811647558212281,bank_marketing
"[25, 32]",tanh,0.002317457111283186,64,9,0.8948481651091276,0.8740963054950344,11.220961380004884,bank_marketing
"[26, 31]",tanh,0.001,32,9,0.8967904342001255,0.8724403895236665,19.196997308731078,bank_marketing
"[26, 33]",sigmoid,0.010837616506638873,64,8,0.8984899642341801,0.8740569191885218,9.678605842590333,bank_marketing
"[25, 32]",tanh,0.001,128,8,0.897907251380216,0.874010002469498,9.419094610214234,bank_marketing
"[27, 32]",sigmoid,0.001,128,10,0.8981986343338019,0.873774462904176,10.941893768310546,bank_marketing
"[26, 32]",tanh,0.001,128,9,0.8969361183084172,0.8742045991703801,9.653926706314087,bank_marketing
"[25, 32]",tanh,0.001630041582198401,32,9,0.8945569000515589,0.874256721162826,27.271382427215578,bank_marketing
"[25, 31]",sigmoid,0.007791155865028184,64,10,0.8979072160114109,0.8748461488250682,15.13853154182434,bank_marketing
"[27, 33]",sigmoid,0.008206556224377921,64,9,0.8982957334934596,0.8735091799980299,16.827931356430053,bank_marketing
"[26, 31]",relu,0.001,128,10,0.8968147561484467,0.8738358589864339,10.173205423355103,bank_marketing
"[27, 32]",relu,0.012223959335394071,128,8,0.8974217437923251,0.8714474458353065,8.963480949401855,bank_marketing
"[27, 33]",tanh,0.005935871452627299,64,9,0.8967419140943008,0.8760848645664427,16.20705690383911,bank_marketing
"[27, 33]",sigmoid,0.006851275110678248,128,8,0.8978586693789824,0.8736855549246603,10.922874164581298,bank_marketing
