Image,PSNR btw Original and Blur,PSNR btw Original and Deblurred,PSNR btw Blur and Deblurred
65033.jpg,75.61214792578883,75.60367321911654,77.09087996758532
148089.jpg,75.22970687631171,75.45563368406346,76.6475017860019
21077.jpg,76.91739277034058,77.02043188745175,78.30044983032619
41033.jpg,78.07129772759319,78.29740339792707,79.60271486226587
12084.jpg,76.03413196163952,75.85257135343949,76.92348763782222
175043.jpg,75.04679965564642,75.41861453856869,75.84362180023822
376043.jpg,75.44445928257952,75.68809728582607,76.90846386401121
299086.jpg,79.7263743985774,78.97366046359645,80.55724278791153
108082.jpg,76.87507311723978,77.23897037685174,77.7277343392119
134035.jpg,75.16613001071356,75.61553309077843,75.87599958523145
38082.jpg,75.8992749404131,76.11151017789811,77.74634818326017
45096.jpg,82.57124855716052,80.70635763930588,81.52528870291854
167083.jpg,75.14884941498104,75.19722223191017,76.43200556859868
42049.jpg,80.14885450834969,79.05621192277601,78.96331943505356
295087.jpg,77.49570109517248,76.97323448409706,78.76311032473757
229036.jpg,75.4038434012906,75.5403852947429,76.42417491371677
89072.jpg,76.39564550846328,76.53005022277586,76.97072189515018
285079.jpg,75.82085828437697,75.98800900939443,76.62615327416273
69020.jpg,75.89599804778607,76.06469128526771,78.33938670574571
219090.jpg,77.96480800772899,77.75493468139639,79.11642907244743
103070.jpg,77.87843153483864,78.1658122938582,78.50426005691848
156065.jpg,76.11472946434517,76.09445015270535,77.86048823539555
210088.jpg,78.08099107970078,77.7770465953656,77.24847534075046
38092.jpg,76.57427536048812,76.64868871933652,77.83500226342564
197017.jpg,77.4325564470931,77.34707217515354,79.21633490638246
159008.jpg,76.16870663624236,76.72955449020942,76.87108871043762
306005.jpg,77.22553033843822,77.140849939838,77.87335670110862
241004.jpg,79.73266494582256,79.13589942644212,80.47557032113727
296007.jpg,79.30586379886154,78.75092126217451,81.16404446148448
85048.jpg,75.43405958935509,75.74167738120207,76.93399948094358
14037.jpg,80.16572869158708,79.50981678821745,80.9042781438702
208001.jpg,76.71147267558493,76.72079419088176,77.87816295832373
143090.jpg,80.23252845890688,79.3388173572485,80.74412758438827
157055.jpg,76.52842997478609,76.76215022889635,76.94914095658756
106024.jpg,80.30462162475673,79.59345690443298,80.76252311105527
182053.jpg,76.91110611457347,76.87399786536302,77.60127589971472
37073.jpg,79.12961030453468,78.43835369627499,79.73445621981837
130026.jpg,76.41610528967631,76.51130338990164,77.7228195921983
361010.jpg,77.43831008198084,77.5594572686113,78.40981055310446
227092.jpg,80.66315689129027,79.63370539702487,81.23165439312247
163085.jpg,77.69810499849319,77.73014521545868,79.20228831505557
241048.jpg,75.9666651004627,76.05899743982536,78.0979802415388
86068.jpg,76.59077959065294,76.47463647284094,78.81585531986862
3096.jpg,85.04359924052146,82.04440280915536,82.1358156387597
147091.jpg,78.31496071769986,77.60612889343798,78.74081193099934
220075.jpg,77.1241243920862,77.24429985307715,77.4539102415456
42012.jpg,77.2400197246216,77.83709108269122,78.25702631157553
304074.jpg,75.79955024171555,75.99097501426809,77.16654781632928
175032.jpg,74.54001599735756,74.73008924206249,76.35908978015219
78004.jpg,76.8028104196584,76.6750920388854,77.41507002230564
123074.jpg,76.96321049298393,77.51651315004368,77.88188443296843
33039.jpg,74.40460986957922,74.72221668168575,75.01790762171241
296059.jpg,78.45208085331352,78.0912192793618,79.49187837979521
69040.jpg,75.49941423144541,75.83800554055203,76.77661162020507
41069.jpg,75.25608255603898,75.42148152173192,77.4964775768056
145086.jpg,77.12914547342243,76.54870490962374,77.81468667486797
58060.jpg,76.02736959397876,75.98066075654019,77.5976982037684
102061.jpg,78.36162333737488,77.93688101044118,78.77150010044376
236037.jpg,75.38097452711526,75.78200712221943,76.92349045941188
97033.jpg,75.92167640525788,76.21834594518964,77.08755992623847
43074.jpg,79.29524345877168,78.88592091289763,80.35443355503203
16077.jpg,76.46404022177185,76.69621980860069,77.6283310818115
260058.jpg,79.37752529668492,79.0853457198654,80.88524691194193
351093.jpg,76.23111292940546,76.32474486445811,77.47027701903149
253055.jpg,80.14166895426193,79.30900795832878,81.36231674698367
271035.jpg,76.30459158109686,76.5709778649495,77.32833919601373
302008.jpg,79.0491375086709,78.99128683643815,78.7244722028955
148026.jpg,75.21487648877809,75.42906647192576,75.85347945376795
109053.jpg,77.67915435548059,77.7931155746615,78.29296499455307
62096.jpg,76.9306937431094,77.13119554902393,78.2699919891352
216081.jpg,76.59218797410713,76.40523550314455,77.71076366073996
189080.jpg,79.79650423750901,79.47057745778197,80.09995022220286
108005.jpg,76.0760535989235,76.31484758736326,76.94679431253824
385039.jpg,76.63170112348834,76.53363711951869,77.78434599675813
119082.jpg,75.52604152218069,75.8370400294296,76.64810554020043
19021.jpg,76.57077286266313,76.68354053528874,77.35011670916643
54082.jpg,78.01806518342622,77.74115619029936,79.5739973290748
86000.jpg,76.74370290300212,76.30288304991113,77.19906541261537
167062.jpg,81.44014116419804,80.44023100820402,81.7889775227048
55073.jpg,75.24304178564395,75.43862265269414,77.19302488173535
101085.jpg,75.35710909264098,75.65802583864738,77.07014189667872
76053.jpg,77.10343909262153,77.04115312733454,78.93946642567701
223061.jpg,76.27393455692696,76.3350811561969,77.50175953171235
101087.jpg,78.369097657108,77.96898713938938,78.84832835212666
8023.jpg,77.84739320136832,78.24014132450878,78.08925407978487
291000.jpg,74.69500190398645,74.73310110945035,76.4066746531988
160068.jpg,78.1315324159751,77.98016654615942,78.63359172476305
196073.jpg,77.2618378329933,77.0184455371681,81.2896514761664
86016.jpg,74.90905658517393,75.01484114302636,77.80855783123656
87046.jpg,76.20064545012185,76.79353702884754,76.79323964757886
105025.jpg,76.40022199051847,76.59994906718445,77.89576942790329
300091.jpg,79.00020612008252,78.50418453376344,79.74868977401033
69015.jpg,77.05393599249888,77.38526554599106,78.27700955256333
253027.jpg,76.6833899541492,76.70338275155291,77.8892883270362
108070.jpg,75.6548644294402,75.76485481276359,77.21088594196443
24077.jpg,76.29392427192619,76.68464014945519,76.50851902672505
126007.jpg,78.48813443269522,78.07025264152,78.9386532036657
304034.jpg,75.21494921643551,75.66808556661987,76.28754570204069
170057.jpg,77.50083707836738,77.81578568512677,78.0960326792365
66053.jpg,76.4072518497806,76.6118788641734,78.69319131491258
